CRD_08D8EFD7132A4E838F53|SR|1.0200|USD|1547|1.2500|USD|1912|JP|0.372400|JP|576|575|JP|0.371600
CRD_96DCC4B3E85641EAA4E9|RR|0.2500|USD|379|0.8100|USD|1239|EN|0.181300|EN|223|220|EN|0.179100
CRD_BE8BC1ED2FFA48EFAEE0|RR|1.8000|USD|2731|3.5000|USD|5353|EN|0.181300|EN|963|931|JP|0.340900
CRD_F27C7CA2257D49FAA563|SR|1.3200|USD|2002|1.3800|USD|2111|JP|0.372400|JP|752|744|JP|0.371600
CRD_67F29079C11444D7B0CA|RR|0.2000|USD|303|0.8000|USD|1223|EN|0.181300|EN|220|217|EN|0.179100
CRD_0D226425CE0B4E138078|RRR|0.6200|USD|941|1.8000|USD|2753|EN|0.328200|EN|896|896|EN|0.328200
CRD_1D2EAA1FB1D44C0781F7|RR|7.1400|USD|10831|4.6800|USD|7157|JP|0.334700|JP|3540|3692|JP|0.340900
CRD_EE2EA1C36FA84838903C|SAR|4.6200|USD|7008|5.2800|USD|8075|JP|0.364600|JP|2539|2586|JP|0.369000
CRD_BE950F4C173D4903A25D|AR|7.0700|USD|10725|22.1300|USD|33571|EN|0.346800|EN|11708|11266|EN|0.335600
CRD_746765E6B4BD453D839B|RR|0.4700|USD|713|0.7900|USD|1198|JP|0.334700|JP|239|243|JP|0.340900
CRD_6287A3AF49C442799402|SR|1.7800|USD|2700|2.4100|USD|3686|JP|0.372400|JP|1000|1003|JP|0.371600
CRD_F5AF7D246A2542E48326|RR|0.5300|USD|804|0.9600|USD|1468|EN|0.181300|EN|264|274|JP|0.340900
CRD_A126650873921A29A1AC79F0125D6C30|PR|299.9900|USD|455076||||PROMO_DIRECT||PROMO_DIRECT|457536|455076|PROMO_DIRECT|
CRD_C2853FCE66E848CFBA00|RR|25.0000|USD|37924|19.5600|USD|29914|JP|0.334700|JP|12697|12928|JP|0.340900
CRD_A82C4C53C3004C17A955|RRR|0.5800|USD|880|1.3500|USD|2065|EN|0.328200|EN|672|672|EN|0.328200
CRD_9C111FFCAB0E4282A578|RR|0.4000|USD|607|1.8600|USD|2845|EN|0.181300|EN|512|505|EN|0.179100
CRD_822997E0527747B387C1|HR|6.2700|USD|9511|2.9100|USD|4450|EN|0.357800|EN|1580|1579|EN|0.357800
CRD_3A9BC04410714B2ABFF2|AR|7.8100|USD|11848|38.6400|USD|58616|EN|0.346800|EN|20639|19671|EN|0.335600
CRD_298C5CE24A9343B9AF00|UR|13.0300|USD|19766|17.4100|USD|26410|JP|0.473200|JP|9514|8966|JP|0.453600
CRD_CCEB4346B9854D20B752|AR|2.3300|USD|3535|2.1700|USD|3319|JP|0.368400|JP|1258|1325|JP|0.374900
CRD_8FB0E39EAB04441DBF55|SR|16.3700|USD|24833|43.7100|USD|66307|EN|0.168000|EN|10939|11140|EN|0.168000
CRD_877457DF732E4A2C8C7F|SR|1041700.0000|KRW|1041700|292.5800|USD|443835|EN|0.134400|EN|59667|59651|EN|0.134400
CRD_31985982AAFB4AECA49A|HR|72.3300|USD|109722|117.8700|USD|178805|JP|0.432300|JP|47446|47433|JP|0.432300
CRD_4DD11310DD574B5BAF64|AR|2.0800|USD|3155|3.2500|USD|4970|JP|0.368400|JP|1202|1183|JP|0.374900
CRD_C8964D5114084013857C|SR|1.4100|USD|2139|1.0300|USD|1575|JP|0.372400|JP|752|795|JP|0.371600
CRD_34B94E323039433886E9|CHR|2.1200|USD|3216|3.7900|USD|5796|JP|0.967600|JP|2951|3112|JP|0.967600
CRD_D59A0E499FD44F4199B5|AR|2.8800|USD|4369|5.4400|USD|8320|JP|0.368400|JP|1604|1638|JP|0.374900
CRD_DB4376253193405389B0|RR|1.0700|USD|1623|1.2500|USD|1896|JP|0.334700|JP|543|553|JP|0.340900
CRD_C98511277D834B8FB4C7|PR||||14.3100|USD|21708|EN|0.328200|EN|7077|7125|EN|0.328200
CRD_447A0348BBF24CB6AA73|RR|21.8000|USD|33070|58.2600|USD|88379|EN|0.181300|EN|16011|15829|EN|0.179100
CRD_D3BC0E4C755C49AD83CC|SAR|16.9900|USD|25773|32.5000|USD|49302|EN|0.232000|EN|10860|9510|JP|0.369000
CRD_7BA254D36DFF445F8FB2|SR|2.8200|USD|4278|2.2500|USD|3441|JP|0.372400|JP|1593|1590|JP|0.371600
CRD_5F4D4AC299E34809963A|RRR|1.0200|USD|1547|1.5700|USD|2382|JP|0.383000|JP|593|592|JP|0.382900
CRD_32D88C6671424AA28280|RR|4.2500|USD|6447|1.9600|USD|2998|EN|0.181300|EN|539|533|EN|0.179100
CRD_C4F64FFCE1CF446580D4|SR|27.8800|USD|42293|3.7800|USD|5781|EN|0.894500|EN|5131|5129|EN|0.894500
CRD_63D4879876974E509121|RR|0.3200|USD|485|0.9100|USD|1392|EN|0.181300|EN|250|247|EN|0.179100
CRD_54805A45B9364F29B502|RR||||1.4800|USD|2263|EN|0.181300|EN|407|402|EN|0.179100
CRD_2DB11712502240BA802B|RR|15.4500|USD|23437|38.0600|USD|57736|EN|0.181300|EN|10388|10340|EN|0.179100
CRD_BC94D56140324F5E8B10|AR|5.4700|USD|8298|7.3000|USD|11164|JP|0.368400|JP|2896|3111|JP|0.374900
CRD_F2744B20C8FD43B5BCDD|HR|10.0000|USD|15170|7.4300|USD|11273|JP|0.432300|JP|6560|6558|JP|0.432300
CRD_50757DF212C2435ABE50|AR|2.3000|USD|3489|7.8600|USD|12021|EN|0.346800|EN|4136|4001|EN|0.335600
CRD_7677BD40116548CBA138|SR|189400.0000|KRW|189400|7.7600|USD|11868|EN|0.134400|EN|1583|1582|EN|0.134400
CRD_CFF5112271AB4A80BF9B|SM-P||||2.4000|USD|3670|EN|0.328200|EN|1195|1195|EN|0.328200
CRD_DBCFA7ECE36342E69356|PR|17.0000|USD|25788|35.1200|USD|53711|JP|0.085500|JP|2205|17485|EN|0.328200
CRD_80407B2696CD4C8CA421|SAR|84.0100|USD|127441|330.1100|USD|500767|EN|0.232000|EN|116839|113674|EN|0.227000
CRD_5F01EFF37F2B4265ACDD|AR|5.3000|USD|8040|9.7100|USD|14730|JP|0.368400|JP|2789|3014|JP|0.374900
CRD_F35563D1D34443BD8590|RR|0.8500|USD|1289|2.0400|USD|3120|EN|0.181300|EN|561|554|EN|0.179100
CRD_DBD66A8B209F456490D9|HR|42.8900|USD|65063|75.6500|USD|114759|JP|0.432300|JP|28134|28127|JP|0.432300
CRD_D88B69F2CCFC4DF587DC|CSR|44.4700|USD|67460|22.0100|USD|33389|EN|0.328200|EN|11006|10958|EN|0.328200
CRD_716841C8EA25435BA3A7|CSR|19.6500|USD|29808|35.7200|USD|54186|JP|0.383000|JP|11420|11414|JP|0.382900
CRD_E3C661DEECDE4AF6AB74|SR|4.4200|USD|6705|6.4100|USD|9803|JP|0.372400|JP|2498|2492|JP|0.371600
